清洗后名称,标准名称,部位（一级）,部位（二级）,部位,检查方式,特征,性别
胸椎正侧位(含片),（胸椎）DR,,胸椎,胸椎,DR,正位|侧位,
胸椎磁共振,（胸椎）MRI,胸,,胸椎,MRI,,
胸椎磁共振(不含片),（胸椎）MRI,,胸椎,胸椎,MRI,,
胸椎站立正位,（胸椎）DR,,胸椎,胸椎,DR,正位|站位,
胸椎超导磁共振,（胸椎）MRI,,胸椎,胸椎,MRI,,
胸椎部CT,（胸椎）CT,胸,胸椎,胸椎,CT,,
胸椎间盘|脊髓成像MRI,（胸椎|脊髓）MRI,,胸椎,胸椎|脊髓,MRI,,
胸椎间盘|脊髓成像MRI(不含片),（胸椎|脊髓）MRI,,胸椎,胸椎|脊髓,MRI,,
胸腰椎站立正侧位(DR),（胸椎|腰椎）DR,胸腰,,胸椎|腰椎,DR,正位|侧位,
胸腺CT(不含胶片),（胸腺）CT,胸,胸腺,胸腺,CT,,
胸部CT胶片打印费,（胸部）CT,胸,,胸部,CT,,
胸部DR免费升级颅脑CT,（颅脑）CT,头,颅脑,颅脑,CT,,
胸部X线检查,（胸部）X线,胸,,胸部,X线,,
胸部低剂量螺旋CT检查(不出片),（胸部）CT,胸,,胸部,CT,低剂量|螺旋,
胸部平扫,（胸部）CT,胸,,胸部,CT,,
胸部核磁共振MRI(不出片),（胸部）MRI,胸,,胸部,MRI,,
胸部肋骨三维重建(CT+图),（胸部||肋骨）CT,胸,肋骨,胸部||肋骨,CT,,
脑血管MRA+头颅MRI,（脑血管|头颅）MRA|MRI,头,,脑血管|头颅,MRA|MRI,,
螺旋CT(头颅),（头颅）CT,头,头颅,头颅,CT,螺旋,
螺旋CT(头颅)(不含片),（头颅）CT,头,头颅,头颅,CT,螺旋,
螺旋CT(头颅)(无片),（头颅）CT,头,头颅,头颅,CT,螺旋,
螺旋CT(头颅)(赠送),（头颅）CT,头,头颅,头颅,CT,螺旋,
螺旋CT(头部)(无片),（头颅）CT,头,,头颅,CT,螺旋,
螺旋CT(头颅平扫),（头颅）CT,头,头颅,头颅,CT,螺旋,
螺旋CT(头颅)不含片,（头颅）CT,头,头颅,头颅,CT,螺旋,
螺旋头颅CT平扫,（头颅）CT,头,头颅,头颅,CT,螺旋,
血管CTA-头颈,（头|颈）CT,头颈,血管,头|颈,CT,,
衢州-头颅CT检测(1)不出片,（头颅）CT,头,头颅,头颅,CT,,
衢州-头颅CT(不出片),（头颅）CT,头,头颅,头颅,CT,,
衢州-头颅MR(1799),（头颅）MRI,,头颅,头颅,MRI,,
衢州-头颅MR(1799)不出片,（头颅）MRI,,头颅,头颅,MRI,,
衢州-头颅MR(1)不出片,（头颅）MRI,,头颅,头颅,MRI,,
衢州-头颅MR(不出片),（头颅）MRI,,头颅,头颅,MRI,,
西门子三维自动乳腺全容积扫描超声,（乳腺）超声,,乳腺,乳腺,超声,,
西门子股骨头CT(不出片),（股骨头）CT,头,股骨头,股骨头,CT,,
赠送-头颅CT,（头颅）CT,头,头颅,头颅,CT,,
赠送-核磁共振头部,（头部）MRI,头,,头部,MRI,,
赠送头颅CT,（头颅）CT,头,头颅,头颅,CT,,
赠送头颅核磁卡,（头颅）MRI,头,头颅,头颅,MRI,,
赠送头颅核磁平扫,（头颅）MRI,头,头颅,头颅,MRI,,
赠送项目:胸椎核磁共振检查(不出片),（胸椎）MRI,胸,胸椎,胸椎,MRI,,
超声检查-乳房(双侧)超声,（乳房）超声,,乳房,乳房,超声,,
飞利浦头部CT检查,（头部）CT,头,,头部,CT,,
(下午)头部核磁,（头部）MRI,头,,头部,MRI,,
(负一楼)CT头颅(出片),（头部）CT,头,头颅,头部,CT,,
(负一楼)CT检查头部,（头部）CT,头,,头部,CT,,
(负一楼)CT检查头部(出片),（头部）CT,头,,头部,CT,,
(负一楼)磁共振头部,（头部）MRI,头,,头部,MRI,,
(负一楼)磁共振头部血管,（头部）MRI,头,血管,头部,MRI,,
(负一楼)磁共振头部血管(出片),（头部）MRI,头,血管,头部,MRI,,
(负一楼)磁共振头部(出片),（头部）MRI,头,,头部,MRI,,
(306)耳鼻喉科常规检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
(JZ)耳鼻喉科检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
(JZ)耳科检查,（耳）耳检查,,,耳,耳检查,,
(JZ)神经内科,神经内科,,,,神经内科,,
(科室04)耳鼻喉检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
(男)外科检查,外科检查,,,,外科检查,,男
(女)外科检查,外科检查,,,,外科检查,,女
(女)外科检查A,外科检查,,,,外科检查,,女
(外)耳鼻喉检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
(一楼)耳鼻喉科检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
(职业病)耳科,（耳）常规检查,,,耳,常规检查,,
2018耳鼻喉科,（耳|鼻|喉）耳鼻喉检查,,,耳|鼻|喉,耳鼻喉检查,,
2019耳鼻喉,（耳|鼻|喉）耳鼻喉检查,,,耳|鼻|喉,耳鼻喉检查,,
ABO+RH血型,血型ABO+RH,,,,血型ABO+RH,,
ABO+RH血型检测,血型ABO+RH,,,,血型ABO+RH,,
ABO+RH血型鉴定(卡式法),血型ABO+RH,,,,血型ABO+RH,,
ABO和RHD血型(固相法),血型ABO+RH,,,,血型ABO+RH,,
ABO血型,血型ABO,,,,血型ABO,,
ABO血型+RH(D)血型,血型ABO+RH,,,,血型ABO+RH,,
ABO血型+RH血型,血型ABO+RH,,,,血型ABO+RH,,
ABO血型+RH血型检查,血型ABO+RH,,,,血型ABO+RH,,
ABO血型RH因子,血型ABO+RH,,,,血型ABO+RH,,
ABO血型测定+RH,血型ABO+RH,,,,血型ABO+RH,,
ABO血型检查,血型ABO,,,,血型ABO,,
K-(职业)耳鼻喉常规检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
K-(职业)耳科常规检查,（耳）常规检查,,,耳,常规检查,,
KS耳鼻喉科检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
K耳鼻喉检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
MJ耳鼻喉科检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
MZ耳鼻喉科检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
OY耳鼻喉检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
OY眼底照相,（眼底）眼底照相,,,眼底,眼底照相,,
RH血型,血型RH,,,,血型RH,,
RH血型(AY),血型RH,,,,血型RH,,
RH血型(抗D)鉴定,血型RH,,,,血型RH,,
RH血型鉴定,血型RH,,,,血型RH,,
RH血型鉴定(团),血型RH,,,,血型RH,,
V耳鼻喉科,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
鼻内镜检查,（鼻）内窥镜,,,鼻,内窥镜,,
鼻内镜检查(医保),（鼻）内窥镜,,,鼻,内窥镜,,
鼻咽部常规(职业健康检查),（鼻|咽）常规检查,,,鼻|咽,常规检查,,
常规妇检,（鼻|咽）常规检查,,,鼻|咽,常规检查,,
慈铭-耳鼻喉科检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
电耳镜检查,（耳）电耳镜,,,耳,电耳镜,,
耳|鼻|喉,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳|鼻|喉科,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳|鼻|喉科-A16室,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻常规检查,（耳|鼻）常规检查,,,耳|鼻,常规检查,,
耳鼻喉,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉(省),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉(外耳外鼻|鼻窦和咽部),（外耳|外鼻|鼻窦|咽）常规检查,,,外耳|外鼻|鼻窦|咽,常规检查,,
耳鼻喉(外耳外鼻|鼻窦和咽部)(赠送),（外耳|外鼻|鼻窦|咽）常规检查,,,外耳|外鼻|鼻窦|咽,常规检查,,
耳鼻喉(延期),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉(赠送),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉(职业病检查),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉(职业健康检查),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉+(喉镜),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉1,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉常规(职业病),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉常规检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉常规检查(赠送),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
"耳鼻喉基础(外检项目,含鼻钳)",（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查(013科室),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查(1),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查(1)(绵阳),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查(2),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查(A区309),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查(常规),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查(常规+电耳镜),（耳|鼻|喉）常规检查|电耳镜,,,耳|鼻|喉,常规检查|电耳镜,,
耳鼻喉检查(赣州),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查(空腹),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查(平安),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查(三),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查(赠送),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查(职业病),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查1,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查2楼,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查A,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉检查N,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉科,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉科(AY),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉科(打包),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉科(入职),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉科(入职)(BN),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉科(职),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉科常规检测,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉科常规检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉科常规检查(大连),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉科检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉科检查(M),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉科检查(餐前),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉科检查(含一次性器械),（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉科内窥镜检查,（耳|鼻|喉）内窥镜,,,耳|鼻|喉,内窥镜,,
耳鼻喉科一般检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
耳鼻喉内窥镜检测,（耳|鼻|喉）内窥镜,,,耳|鼻|喉,内窥镜,,
耳鼻咽常规检查,（耳|鼻|咽）常规检查,,,耳|鼻|咽,常规检查,,
耳鼻咽喉检查,（耳|鼻|咽）常规检查,,,耳|鼻|咽,常规检查,,
耳鼻咽喉科,（耳|鼻|咽）常规检查,,,耳|鼻|咽,常规检查,,
耳鼻咽喉科(7Y),（耳|鼻|咽）常规检查,,,耳|鼻|咽,常规检查,,
耳鼻咽喉科(团),（耳|鼻|咽）常规检查,,,耳|鼻|咽,常规检查,,
耳鼻咽喉内窥镜检查,（耳|鼻|咽）内窥镜,,,耳|鼻|咽,内窥镜,,
耳科(职),（耳）常规检查,,,耳,常规检查,,
耳科(职业病),（耳）常规检查,,,耳,常规检查,,
耳科常规,（耳）常规检查,,,耳,常规检查,,
耳科常规(职业),（耳）常规检查,,,耳,常规检查,,
耳科常规(职业健康检查),（耳）常规检查,,,耳,常规检查,,
耳科检查,（耳）常规检查,,,耳,常规检查,,
耳科检查(精细),（耳）常规检查,,,耳,常规检查,,
耳内镜,（耳）内窥镜,,,耳,内窥镜,,
妇科常规(AY),（妇科）常规检查,,,妇科,常规检查,,
间接鼻咽镜检查,（鼻|咽）镜检,,,鼻|咽,镜检,,
口腔检查,（口腔）常规检查,,,口腔,常规检查,,
口腔检查(1),（口腔）常规检查,,,口腔,常规检查,,
口腔检查(2),（口腔）常规检查,,,口腔,常规检查,,
口腔检查(空腹),（口腔）常规检查,,,口腔,常规检查,,
丽水-耳鼻喉检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
裂隙灯,（眼）裂隙灯,,,眼,裂隙灯,,
裂隙灯检查,（眼）裂隙灯,,,眼,裂隙灯,,
免散瞳眼底检测(眼底相机检查),（眼底）眼底照相,,,眼底,眼底照相,,
莫费时睡眠监测,睡眠监测,,,,睡眠监测,,
莫费时睡眠检测,睡眠监测,,,,睡眠监测,,
男外科检查,外科检查,,,,外科检查,,男
内科,内科检查,,,,内科检查,,
内科检查,内科检查,,,,内科检查,,
内科检查(女),内科检查,,,,内科检查,,女
内窥镜耳鼻咽喉检查,（耳|鼻|咽|喉）内窥镜,,,耳|鼻|咽|喉,内窥镜,,
女外科检查,外科检查,,,,外科检查,,女
衢州-耳鼻咽喉检查,（耳|鼻|咽|喉）常规检查,,,耳|鼻|咽|喉,常规检查,,
热代谢检测(全身),（全身）MTD,,,全身,MTD,,
睡眠呼吸检测,睡眠监测|呼吸监测,,,,睡眠监测|呼吸监测,,
体检加项C(腹),（腹）CT,,,腹,CT,,
体检加项C(颈),（颈）CT,,,颈,CT,,
体检加项C(头),（头）CT,,,头,CT,,
体检加项C(胸),（胸）CT,,,胸,CT,,
体检加项C(腰椎),（腰椎）CT,,,腰椎,CT,,
听力,（耳）听力检测,,,耳,听力检测,,
听力(音叉)检查,（耳）音叉检查,,,耳,音叉检查,,
听力检测,（耳）听力检测,,,耳,听力检测,,
外科,外科检查,,,,外科检查,,
外科检查,外科检查,,,,外科检查,,
外科检查(常规),外科检查,,,,外科检查,,
外科检查(含肛检),外科检查|肛检,,,,外科检查|肛检,,
外科检查(男),外科检查,,,,外科检查,,男
外科检查(男1),外科检查,,,,外科检查,,男
外科检查(男2),外科检查,,,,外科检查,,男
外科检查(女),外科检查,,,,外科检查,,女
外科检查(女1),外科检查,,,,外科检查,,女
外科检查(女2),外科检查,,,,外科检查,,女
外科检查A,外科检查,,,,外科检查,,
外眼及视力+裂隙灯检查,（外眼|视力|裂隙灯）眼科检查,,,外眼|视力|裂隙灯,眼科检查,,
外眼及视力+眼底检查,（外眼|视力|眼底）眼科检查,,,外眼|视力|眼底,眼科检查,,
外眼及视力+眼底检查+裂隙灯检查,（外眼|视力|眼底|裂隙灯）眼科检查,,,外眼|视力|眼底|裂隙灯,眼科检查,,
外眼检查,（外眼）常规检查,,,外眼,常规检查,,
五官科(入职),五官检查,,,,五官检查,,
五官科(入职)(BN),五官检查,,,,五官检查,,
血型,血型,,,,血型,,
血型(A/B/AB/O/RH),血型ABO+RH,,,,血型ABO+RH,,
血型(A/B/AB/O/RHD),血型ABO+RH,,,,血型ABO+RH,,
血型(A|B|AB|O),血型ABO,,,,血型ABO,,
血型(A|B|AB|O\RH),血型ABO+RH,,,,血型ABO+RH,,
血型(A|B|AB|O|RH),血型ABO+RH,,,,血型ABO+RH,,
血型(ABO),血型ABO,,,,血型ABO,,
血型(ABO+RH),血型ABO+RH,,,,血型ABO+RH,,
血型(ABO+RH)(2019),血型ABO+RH,,,,血型ABO+RH,,
血型(BG),血型,,,,血型,,
血型RH,血型RH,,,,血型RH,,
血型测定+RH,血型RH,,,,血型RH,,
血型检测,血型,,,,血型,,
血型鉴定(ABO+RHD),血型ABO+RH,,,,血型ABO+RH,,
血型鉴定(ABO血型+RHD血型),血型ABO+RH,,,,血型ABO+RH,,
眼底,（眼底）眼底检查,,,眼底,眼底检查,,
眼底检查,（眼底）眼底检查,,,眼底,眼底检查,,
眼底摄像(不出图),（眼底）眼底照相,,,眼底,眼底照相,,
眼底相机,（眼底）眼底照相,,,眼底,眼底照相,,
眼底相机(不含胶片),（眼底）眼底照相,,,眼底,眼底照相,,
眼底照相(含彩色图文报告),（眼底）眼底照相,,,眼底,眼底照相,,
眼底照相(双眼),（眼底）眼底照相,,,眼底,眼底照相,,
眼底照相(远程),（眼底）眼底照相,,,眼底,眼底照相,,
眼底照相A,（眼底）眼底照相,,,眼底,眼底照相,,
眼底照相机,（眼底）眼底照相,,,眼底,眼底照相,,
眼底照相-美兆,（眼底）眼底照相,,,眼底,眼底照相,,
眼科+裂隙灯,（眼）裂隙灯,,,眼,裂隙灯,,
眼科+眼底,（眼）眼底检查,,,眼,眼底检查,,
眼科检查,（眼）眼科检查,,,眼,眼科检查,,
眼科检查(1),（眼）眼科检查,,,眼,眼科检查,,
眼科检查(2),（眼）眼科检查,,,眼,眼科检查,,
眼科检查(3),（眼）眼科检查,,,眼,眼科检查,,
眼科检查(4),（眼）眼科检查,,,眼,眼科检查,,
眼科检查(辨色力),（眼）辨色力,,,眼,辨色力,,
眼科检查(裂隙灯),（眼）裂隙灯,,,眼,裂隙灯,,
眼科检查(视力),（眼）视力检查,,,眼,视力检查,,
眼科检查(外眼),（眼）眼科检查,,,眼,眼科检查,,
眼科检查(外眼|辨色力),（眼）辨色力,,,眼,辨色力,,
眼科检查(外眼|眼底),（眼）眼底检查,,,眼,眼底检查,,
眼科检查(外眼|眼底|裂隙灯),（眼）裂隙灯,,,眼,裂隙灯,,
眼科检查(外眼|眼底|眼压),（检查|眼压）眼科检查,,,检查|眼压,眼科检查,,
眼科检查(眼底),（眼底）眼科检查,,,眼底,眼科检查,,
眼科检查(眼底|眼压),（眼底|眼压）眼科检查,,,眼底|眼压,眼科检查,,
眼科检查(眼底|眼压|裂隙灯),（眼底|裂隙灯）眼科检查,,,眼底|裂隙灯,眼科检查,,
眼科检查(眼底照相含片),（眼底）眼底照相,,,眼底,眼底照相,,
眼科检查(眼压),（眼）眼压检查,,,眼,眼压检查,,
眼科检查(验光-小瞳孔检影),（眼底）眼科检查,,,眼底,眼科检查,,
眼科外眼检查,（外眼）眼科检查,,,外眼,眼科检查,,
眼科眼底照相,（眼）眼底照相,,,眼,眼底照相,,
音叉测听,（耳）音叉检查,,,耳,音叉检查,,
音叉检查,（耳）音叉检查,,,耳,音叉检查,,
硬性鼻咽镜检查(医保),（鼻|咽）镜检,,,鼻|咽,镜检,,
硬性耳内镜检查(医保),（耳）内窥镜,,,耳,内窥镜,,
职业健康-耳鼻喉,（耳|鼻|喉）耳鼻喉检查,,,耳|鼻|喉,耳鼻喉检查,,
职业健康检查(耳科常规),（耳）常规检查,,,耳,常规检查,,
职业健康检查-耳鼻喉,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
职业健康体检项目:耳鼻喉常规检查,（耳|鼻|喉）常规检查,,,耳|鼻|喉,常规检查,,
职业健康体检项目:耳科常规检查,（耳）常规检查,,,耳,常规检查,,
",宫颈TCT",（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
",宫颈刮片",（宫颈）刮片,,,宫颈,刮片,,
(329|332)妇科检查,（妇科）常规检查,,,妇科,常规检查,,
(329|332)妇科液基细胞学检测TCT,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
(337|326)妇科检查,（妇科）常规检查,,,妇科,常规检查,,
(337|326)妇科液基细胞学检测TCT,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
(337|332)妇科检查,（妇科）常规检查,,,妇科,常规检查,,
(337|332)妇科液基细胞学检测TCT,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
(629.631)妇科检查(常规),（妇科）常规检查,,,妇科,常规检查,,
(629.631)宫颈超薄细胞检测(TCT),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
(AM)妇科常规,（妇科）常规检查,,,妇科,常规检查,,
(AM)妇科检查,（妇科）常规检查,,,妇科,常规检查,,
(AM)液基薄层细胞检测(TCT),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
(JZ)妇科(已婚)TCT液基薄层细胞学检查,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
(JZ)妇科(已婚)TCT液基博片细胞学检查,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
(JZ)妇科(已婚)常规检查(必选),（妇科）常规检查,,,妇科,常规检查,,
(JZ)妇科(已婚)宫颈刮片,（宫颈）刮片,,,宫颈,刮片,,
(JZ)妇科(已婚)宫颈脱落细胞检测(刮片,（宫颈）刮片,,,宫颈,刮片,,
(JZ)妇科(已婚)液基薄层细胞学检测(TC,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
(JZ)妇科(已婚)一般阴道镜检查,（阴道）阴道镜,,,阴道,阴道镜,,
(JZ)妇科常规检查(已婚),（妇科）常规检查,,,妇科,常规检查,,
(二楼)妇科检查,（妇科）常规检查,,,妇科,常规检查,,
(二楼)宫颈细胞学检查,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
(科室28)妇科检查,（妇科）常规检查,,,妇科,常规检查,,
(外)妇科检查,（妇科）常规检查,,,妇科,常规检查,,
(外)宫颈细胞学,（宫颈）宫颈细胞学,,,宫颈,宫颈细胞学,,
(外)宫颈细胞学检查,（宫颈）宫颈细胞学,,,宫颈,宫颈细胞学,,
(外)液基薄层(TCT)检测,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
(外)液基薄层(TCT)检查,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
(外送)TCT(液基薄层细胞),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
(外送)TCT(液基薄层细胞学检测),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
(外送)TCT检测,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
(外送)TCT检测(液基薄层),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
(外送)宫颈刮片,（宫颈）刮片,,,宫颈,刮片,,
(新)脱落细胞学检查与诊断,脱落细胞学,,,,脱落细胞学,,
(职业病检查)妇科检查,（妇科）常规检查,,,妇科,常规检查,,
(职业病检查)宫颈刮片,（宫颈）刮片,,,宫颈,刮片,,
2018妇科,（妇科）常规检查,,,妇科,常规检查,,
2018妇科检查(新),（妇科）常规检查,,,妇科,常规检查,,
2018宫颈刮片(新),（宫颈）刮片,,,宫颈,刮片,,
2018宫颈细胞分子检测(TCT),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
2019宫颈刮片,（宫颈）刮片,,,宫颈,刮片,,
2019液基细胞学检查TCT,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
BB妇科一般检查,（妇科）常规检查,,,妇科,常规检查,,
BB宫颈刮片检查,（宫颈）刮片,,,宫颈,刮片,,
CM-尿液脱落细胞,脱落细胞学,,,,脱落细胞学,尿液,
DNA定量细胞学检测项目,DNA定量细胞学,,,,DNA定量细胞学,,
F妇科检查,（妇科）常规检查,,,妇科,常规检查,,
KS电子阴道镜,（阴道）电子阴道镜,,,阴道,电子阴道镜,,
KS电子阴道镜检查,（阴道）电子阴道镜,,,阴道,电子阴道镜,,
KS妇科检查,（妇科）常规检查,,,妇科,常规检查,,
KS液基薄层细胞学检测,液基薄层细胞学,,,,液基薄层细胞学,,
K妇科常规检查(含一次性用品),（妇科）常规检查,,,妇科,常规检查,,
K液基薄层细胞学检测(TCT)(外送),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
MJ妇科检查,（妇科）常规检查,,,妇科,常规检查,,
M妇科检查,（妇科）常规检查,,,妇科,常规检查,,
M宫颈液基薄层细胞学检查(TCT),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
OY妇科检查(含一次性用品),（妇科）常规检查,,,妇科,常规检查,,
OY宫颈脱落细胞检测(刮片),（宫颈）刮片,,,宫颈,刮片,,
OY宫颈细胞学检查,宫颈细胞学,,,,宫颈细胞学,,
OY液基薄层(TCT)检测,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
OY液基薄层细胞学检测(TCT),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT?测,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT(165),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT(X),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT(宫颈癌筛查),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT(宫颈细胞分子生物学检测),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT(宫颈液基细胞学),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT(液基薄层),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT(液基薄层)检测,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT(液基薄层检测),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT(液基薄层细胞),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT(液基薄层细胞)(外送),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT(液基薄层细胞学检测),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT(液基薄层细胞学检查),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT(液基薄层细胞学检查)(已婚项目),（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
TCT(液基薄层细胞学检查)套餐项目,（妇科）宫颈液基细胞学TCT,,,妇科,宫颈液基细胞学TCT,,
